ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55
Action 1,ALX,0.9243164,0.9492188,0.9462891,0.9697266,0.972168,1.055176,1.466797,1.215332,0.09960938,-0.2553711,0.7822266,2.331055,0.6347656,0.421875,1.034668,0.9814453,0.8173828,0.8637695,0.9038086,0.9033203,0.8920898,0.8823242,0.8925781,0.894043,0.8769531,0.8681641,0.8754883,0.8574219,0.8515625,0.8447266,0.8818359,0.8671875,0.8422852,0.8256836,0.8422852,0.8583984,0.9238281,0.9370117,0.9594727,0.9443359,0.9394531,0.9604492,0.9599609,0.9648438,0.9580078,0.956543,0,0,0,0,0,0,0,0,0
Action 1,ALY,-0.2719727,-0.2553711,-0.2407227,-0.2504883,-0.2319336,-0.2514648,-0.2041016,-0.9443359,-0.4882813,0.4165039,-0.519043,-0.3242188,-0.5600586,-0.4365234,-0.3457031,-0.3217773,-0.3525391,-0.4052734,-0.3701172,-0.3632813,-0.3657227,-0.3647461,-0.362793,-0.3603516,-0.3789063,-0.3828125,-0.375,-0.3901367,-0.3994141,-0.4023438,-0.3916016,-0.3989258,-0.3999023,-0.4277344,-0.4106445,-0.3916016,-0.2207031,-0.3432617,-0.293457,-0.3027344,-0.2495117,-0.2729492,-0.253418,-0.2460938,-0.2524414,-0.2480469,0,0,0,0,0,0,0,0,0
Action 1,ALZ,0.1914063,0.1679688,0.1337891,0.1411133,0.1577148,0.09228516,0.2749023,0.8027344,0.2275391,-0.2714844,0.2514648,0.7792969,0.07519531,0.1445313,0.3041992,0.3120117,0.2573242,0.2939453,0.25,0.2548828,0.2739258,0.2724609,0.2739258,0.2685547,0.2841797,0.2963867,0.2880859,0.2993164,0.2973633,0.3007813,0.2958984,0.2944336,0.284668,0.284668,0.2709961,0.2480469,0.2509766,0.2431641,0.1914063,0.1865234,0.1689453,0.1567383,0.1323242,0.1479492,0.144043,0.1337891,0,0,0,0,0,0,0,0,0
Action 1,ARX,0.9057617,0.8881836,0.9067383,0.9243164,0.9277344,0.9394531,1.191406,1.480469,0.3681641,-0.3066406,0.07226563,-0.128418,2.304688,0.4741211,0.5991211,1.07666,0.9018555,0.8208008,0.7617188,0.8242188,0.8544922,0.8100586,0.8046875,0.8105469,0.8110352,0.800293,0.7993164,0.8056641,0.753418,0.75,0.8266602,0.809082,0.7871094,0.7641602,0.7744141,0.8300781,0.8789063,0.875,0.8535156,0.8793945,0.9038086,0.9272461,0.9370117,0.9301758,0.9199219,0.9116211,0,0,0,0,0,0,0,0,0
Action 1,ARY,0.2919922,0.2695313,0.2910156,0.2802734,0.2851563,0.3017578,0.3774414,0.546875,0.7416992,-0.02001953,-0.5336914,0.9824219,0.7524414,0.4550781,0.6000977,0.3725586,0.4008789,0.3574219,0.4384766,0.4277344,0.4501953,0.4697266,0.4667969,0.4746094,0.4365234,0.4736328,0.4614258,0.4790039,0.5136719,0.4750977,0.4667969,0.5029297,0.5087891,0.4902344,0.5209961,0.387207,0.3486328,0.3842773,0.3959961,0.3959961,0.34375,0.3422852,0.3291016,0.3027344,0.3110352,0.3120117,0,0,0,0,0,0,0,0,0
Action 1,ARZ,0.1723633,0.1953125,0.1738281,0.1479492,0.1552734,0.1533203,-0.02197266,0.4365234,0.6264648,-0.1083984,-0.1352539,0.5957031,0.3144531,0.07177734,0.1391602,0.2700195,0.2402344,0.2441406,0.3071289,0.2729492,0.300293,0.2832031,0.2807617,0.3071289,0.3061523,0.3105469,0.3193359,0.3354492,0.3266602,0.3173828,0.3295898,0.3212891,0.3344727,0.2944336,0.2924805,0.2861328,0.2861328,0.2753906,0.2573242,0.1992188,0.1938477,0.1630859,0.1459961,0.1577148,0.1625977,0.1572266,0,0,0,0,0,0,0,0,0
Action 1,EMG0L,0,-1,0,-2,-1,-4,-54,-54,18,12,-8,21,-15,-22,1,-3,-18,-7,7,-7,8,-4,-3,-1,2,-2,-4,-3,-5,7,0,2,0,-5,2,-1,0,-3,2,-3,-1,1,-1,1,-2,0,0,0,0,0,0,0,0,0,0
Action 1,EMG1L,-2,0,-1,1,-1,-7,-9,-12,1,-4,-14,12,-4,-2,1,-1,-8,-5,1,-2,1,-3,-1,-3,2,0,-2,1,-1,-1,0,-6,2,-6,0,1,0,-3,0,-4,-1,-1,0,0,-3,0,0,0,0,0,0,0,0,0,0
Action 1,EMG2L,0,-1,0,-1,-3,-2,-15,-9,-1,2,-20,4,-5,-5,4,2,-3,0,3,-1,2,-4,-3,-5,0,0,-5,0,-2,0,-2,0,0,-1,-1,1,-1,-4,-1,0,-2,-2,1,1,-2,0,0,0,0,0,0,0,0,0,0
Action 1,EMG3L,0,-1,-1,0,1,53,-22,-72,-13,11,15,6,-5,-23,6,7,-6,1,12,-1,1,10,-1,-3,1,-1,-2,6,-7,0,-2,5,0,1,-3,1,-1,-2,0,1,0,0,0,-2,-1,0,0,0,0,0,0,0,0,0,0
